iter	Passed	Remaining
400	27452	34160
401	27511	34082
402	27571	34002
403	27629	33921
404	27687	33840
405	27756	33772
406	27833	33714
407	27894	33637
408	27953	33557
409	28010	33476
410	28068	33395
411	28133	33323
412	28190	33241
413	28247	33160
414	28324	33102
415	28404	33047
416	28473	32980
417	28556	32929
418	28626	32862
419	28690	32788
420	28755	32717
421	28820	32645
422	28882	32570
423	28944	32494
424	29002	32415
425	29067	32343
426	29128	32266
427	29189	32190
428	29248	32111
429	29309	32035
430	29368	31957
431	29427	31879
432	29486	31801
433	29544	31722
434	29609	31651
435	29668	31573
436	29728	31497
437	29792	31424
438	29856	31352
439	29929	31290
440	29998	31223
441	30073	31161
442	30145	31097
443	30214	31030
444	30285	30966
445	30349	30893
446	30412	30820
447	30478	30750
448	30544	30680
449	30602	30602
450	30660	30524
451	30726	30454
452	30789	30381
453	30851	30307
454	30909	30230
455	30973	30158
456	31037	30086
457	31097	30011
458	31158	29936
459	31219	29862
460	31278	29785
461	31335	29707
462	31396	29633
463	31455	29557
464	31517	29484
465	31576	29408
466	31634	29331
467	31694	29256
468	31755	29182
469	31901	29186
470	31972	29121
471	32035	29048
472	32097	28975
473	32157	28901
474	32217	28826
475	32277	28751
476	32337	28676
477	32394	28599
478	32468	28537
479	32526	28460
480	32586	28385
481	32646	28311
482	32720	28249
483	32779	28174
484	32837	28097
485	32892	28019
486	32953	27946
487	33013	27872
488	33073	27798
489	33132	27723
490	33191	27648
491	33253	27575
492	33313	27501
493	33371	27426
494	33432	27354
495	33493	27281
496	33550	27205
497	33608	27129
498	33668	27055
499	33730	26984
500	33788	26909
501	33847	26835
502	33908	26762
503	33968	26689
504	34027	26615
505	34088	26543
506	34149	26470
507	34210	26398
508	34269	26324
509	34331	26253
510	34389	26179
511	34450	26106
512	34510	26034
513	34569	25960
514	34628	25887
515	34687	25814
516	34749	25742
517	34810	25671
518	34872	25599
519	34933	25528
520	34992	25455
521	35049	25380
522	35110	25309
523	35172	25238
524	35232	25166
525	35293	25094
526	35355	25024
527	35414	24951
528	35475	24879
529	35537	24808
530	35596	24736
531	35656	24664
532	35719	24594
533	35786	24527
534	35853	24461
535	35921	24394
536	35990	24328
537	36059	24262
538	36133	24200
539	36200	24133
540	36268	24067
541	36341	24004
542	36413	23940
543	36484	23875
544	36559	23813
545	36639	23755
546	36713	23692
547	36774	23621
548	36843	23555
549	36906	23485
550	36965	23413
551	37025	23342
552	37087	23271
553	37150	23202
554	37212	23132
555	37272	23060
556	37333	22989
557	37396	22920
558	37454	22848
559	37512	22775
560	37570	22702
561	37632	22633
562	37693	22562
563	37753	22491
564	37814	22421
565	37875	22350
566	37933	22278
567	37992	22206
568	38050	22134
569	38110	22064
570	38168	21992
571	38227	21920
572	38305	21860
573	38442	21833
574	38504	21763
575	38566	21693
576	38626	21622
577	38684	21550
578	38741	21478
579	38802	21408
580	38870	21342
581	38939	21276
582	39012	21212
583	39087	21149
584	39157	21084
585	39225	21018
586	39291	20951
587	39363	20886
588	39432	20820
589	39500	20754
590	39567	20687
591	39636	20621
592	39705	20555
593	39773	20489
594	39839	20421
595	39903	20353
596	39969	20286
597	40028	20214
598	40086	20143
599	40145	20072
600	40205	20002
601	40266	19932
602	40325	19861
603	40390	19794
604	40451	19724
605	40510	19653
606	40567	19582
607	40624	19510
608	40683	19439
609	40744	19370
610	40803	19300
611	40862	19229
612	40924	19160
613	40987	19091
614	41046	19021
615	41106	18951
616	41164	18881
617	41225	18811
618	41284	18741
619	41344	18671
620	41406	18603
621	41471	18535
622	41533	18466
623	41592	18396
624	41655	18328
625	41717	18259
626	41774	18188
627	41835	18119
628	41895	18050
629	41955	17981
630	42015	17911
631	42073	17841
632	42133	17772
633	42193	17702
634	42250	17632
635	42311	17563
636	42377	17496
637	42439	17428
638	42499	17359
639	42559	17289
640	42617	17220
641	42678	17151
642	42738	17082
643	42797	17012
644	42857	16943
645	42918	16874
646	42979	16806
647	43037	16736
648	43100	16668
649	43159	16599
650	43218	16530
651	43280	16462
652	43343	16394
653	43404	16326
654	43465	16257
655	43522	16188
656	43582	16119
657	43642	16050
658	43702	15982
659	43763	15913
660	43822	15844
661	43881	15776
662	43941	15707
663	44000	15638
664	44062	15570
665	44122	15502
666	44181	15433
667	44239	15364
668	44299	15296
669	44360	15228
670	44421	15160
671	44482	15092
672	44543	15024
673	44604	14956
674	44665	14888
675	44723	14819
676	44785	14752
677	44842	14683
678	44900	14614
679	44958	14545
680	45018	14477
681	45081	14410
682	45138	14341
683	45197	14272
684	45254	14204
685	45314	14135
686	45372	14067
687	45433	13999
688	45505	13935
689	45566	13867
690	45623	13799
691	45693	13734
692	45754	13666
693	45831	13604
694	45961	13556
695	46025	13490
696	46088	13423
697	46147	13355
698	46210	13287
699	46273	13221
700	46333	13153
701	46392	13085
702	46450	13016
703	46510	12948
704	46573	12881
705	46631	12813
706	46692	12746
707	46754	12679
708	46814	12611
709	46875	12544
710	46934	12476
711	46992	12408
712	47057	12341
713	47118	12274
714	47176	12206
715	47238	12139
716	47298	12071
717	47356	12003
718	47415	11936
719	47474	11868
720	47536	11801
721	47595	11734
722	47654	11666
723	47714	11599
724	47775	11531
725	47834	11464
726	47890	11396
727	47950	11328
728	48011	11262
729	48068	11194
730	48130	11127
731	48190	11060
732	48253	10993
733	48315	10926
734	48376	10860
735	48436	10792
736	48494	10725
737	48557	10658
738	48613	10591
739	48676	10524
740	48733	10457
741	48793	10389
742	48852	10322
743	48912	10255
744	48974	10189
745	49031	10121
746	49088	10054
747	49148	9987
748	49208	9920
749	49267	9853
750	49327	9786
751	49389	9720
752	49447	9653
753	49505	9585
754	49562	9518
755	49620	9451
756	49683	9385
757	49745	9319
758	49803	9252
759	49866	9185
760	49925	9119
761	49983	9052
762	50041	8985
763	50101	8918
764	50161	8852
765	50222	8785
766	50283	8719
767	50343	8652
768	50403	8586
769	50462	8519
770	50519	8452
771	50580	8386
772	50639	8319
773	50698	8253
774	50758	8186
775	50819	8120
776	50881	8054
777	50939	7987
778	50995	7921
779	51052	7854
780	51113	7788
781	51170	7721
782	51229	7655
783	51291	7589
784	51351	7522
785	51410	7456
786	51466	7389
787	51525	7323
788	51584	7257
789	51641	7190
790	51697	7123
791	51757	7057
792	51828	6993
793	51890	6927
794	51950	6861
795	52014	6795
796	52073	6729
797	52133	6663
798	52190	6597
